-1.046 -1.928 1.621
-0.908 -1.928 1.275
-0.769 -1.928 1.002
-0.630 -1.928 0.761
-0.491 -1.928 0.555
-0.353 -1.928 0.405
-0.214 -1.928 0.299
-0.075 -1.928 0.198
0.064 -1.928 0.119
0.202 -1.928 0.136
0.341 -1.928 0.162
0.480 -1.928 0.106
0.619 -1.928 0.048
0.757 -1.928 0.059
0.896 -1.928 0.107
1.035 -1.928 0.143
1.174 -1.928 0.204
1.312 -1.928 0.353
1.451 -1.928 0.639
1.590 -1.928 1.089
-1.046 -1.774 1.438
-0.908 -1.774 1.092
-0.769 -1.774 0.829
-0.630 -1.774 0.600
-0.491 -1.774 0.397
-0.353 -1.774 0.247
-0.214 -1.774 0.163
-0.075 -1.774 0.089
0.064 -1.774 0.014
0.202 -1.774 0.093
0.341 -1.774 0.141
0.480 -1.774 0.103
0.619 -1.774 0.054
0.757 -1.774 0.019
0.896 -1.774 0.032
1.035 -1.774 0.068
1.174 -1.774 0.112
1.312 -1.774 0.236
1.451 -1.774 0.505
1.590 -1.774 0.946
-1.046 -1.620 1.256
-0.908 -1.620 0.909
-0.769 -1.620 0.653
-0.630 -1.620 0.439
-0.491 -1.620 0.240
-0.353 -1.620 0.101
-0.214 -1.620 0.122
-0.075 -1.620 0.138
0.064 -1.620 0.084
0.202 -1.620 0.064
0.341 -1.620 0.137
0.480 -1.620 0.136
0.619 -1.620 0.116
0.757 -1.620 0.087
0.896 -1.620 0.039
1.035 -1.620 0.050
1.174 -1.620 0.069
1.312 -1.620 0.143
1.451 -1.620 0.388
1.590 -1.620 0.814
-1.046 -1.466 1.075
-0.908 -1.466 0.726
-0.769 -1.466 0.476
-0.630 -1.466 0.280
-0.491 -1.466 0.093
-0.353 -1.466 0.076
-0.214 -1.466 0.182
-0.075 -1.466 0.183
0.064 -1.466 0.090
0.202 -1.466 0.046
0.341 -1.466 0.154
0.480 -1.466 0.177
0.619 -1.466 0.167
0.757 -1.466 0.142
0.896 -1.466 0.105
1.035 -1.466 0.109
1.174 -1.466 0.110
1.312 -1.466 0.079
1.451 -1.466 0.284
1.590 -1.466 0.697
-1.046 -1.312 0.895
-0.908 -1.312 0.544
-0.769 -1.312 0.306
-0.630 -1.312 0.150
-0.491 -1.312 0.090
-0.353 -1.312 0.162
-0.214 -1.312 0.196
-0.075 -1.312 0.161
0.064 -1.312 0.073
0.202 -1.312 0.065
0.341 -1.312 0.173
0.480 -1.312 0.201
0.619 -1.312 0.192
0.757 -1.312 0.181
0.896 -1.312 0.166
1.035 -1.312 0.181
1.174 -1.312 0.185
1.312 -1.312 0.099
1.451 -1.312 0.186
1.590 -1.312 0.590
-1.046 -1.158 0.717
-0.908 -1.158 0.365
-0.769 -1.158 0.165
-0.630 -1.158 0.155
-0.491 -1.158 0.195
-0.353 -1.158 0.191
-0.214 -1.158 0.147
-0.075 -1.158 0.103
0.064 -1.158 0.063
0.202 -1.158 0.087
0.341 -1.158 0.180
0.480 -1.158 0.198
0.619 -1.158 0.188
0.757 -1.158 0.203
0.896 -1.158 0.216
1.035 -1.158 0.248
1.174 -1.158 0.264
1.312 -1.158 0.175
1.451 -1.158 0.094
1.590 -1.158 0.489
-1.046 -1.004 0.541
-0.908 -1.004 0.195
-0.769 -1.004 0.152
-0.630 -1.004 0.251
-0.491 -1.004 0.252
-0.353 -1.004 0.182
-0.214 -1.004 0.090
-0.075 -1.004 0.050
0.064 -1.004 0.068
0.202 -1.004 0.095
0.341 -1.004 0.165
0.480 -1.004 0.174
0.619 -1.004 0.168
0.757 -1.004 0.211
0.896 -1.004 0.252
1.035 -1.004 0.303
1.174 -1.004 0.335
1.312 -1.004 0.255
1.451 -1.004 0.045
1.590 -1.004 0.391
-1.046 -0.850 0.372
-0.908 -0.850 0.071
-0.769 -0.850 0.241
-0.630 -0.850 0.308
-0.491 -0.850 0.264
-0.353 -0.850 0.170
-0.214 -0.850 0.063
-0.075 -0.850 0.038
0.064 -0.850 0.070
0.202 -0.850 0.082
0.341 -0.850 0.133
0.480 -0.850 0.139
0.619 -0.850 0.142
0.757 -0.850 0.211
0.896 -0.850 0.274
1.035 -0.850 0.341
1.174 -0.850 0.389
1.312 -0.850 0.323
1.451 -0.850 0.102
1.590 -0.850 0.302
-1.046 -0.695 0.221
-0.908 -0.695 0.125
-0.769 -0.695 0.295
-0.630 -0.695 0.318
-0.491 -0.695 0.255
-0.353 -0.695 0.157
-0.214 -0.695 0.052
-0.075 -0.695 0.034
0.064 -0.695 0.059
0.202 -0.695 0.056
0.341 -0.695 0.095
0.480 -0.695 0.104
0.619 -0.695 0.117
0.757 -0.695 0.208
0.896 -0.695 0.288
1.035 -0.695 0.366
1.174 -0.695 0.425
1.312 -0.695 0.371
1.451 -0.695 0.162
1.590 -0.695 0.226
-1.046 -0.541 0.116
-0.908 -0.541 0.180
-0.769 -0.541 0.302
-0.630 -0.541 0.303
-0.491 -0.541 0.236
-0.353 -0.541 0.140
-0.214 -0.541 0.043
-0.075 -0.541 0.028
0.064 -0.541 0.044
0.202 -0.541 0.031
